cell_id,x_m,y_m,z_m,normal_x,normal_y,normal_z,semantic_label,visible_cameras,rho
desk_cell_50,3.238,10.85,1.035,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_51,6.149,10.85,1.035,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_52,6.996,10.85,1.035,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_53,7.843,10.85,1.035,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_54,1.464,11.75,1.14,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_55,2.351,11.75,1.14,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_56,3.238,11.75,1.14,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_57,6.149,11.75,1.14,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_58,6.996,11.75,1.14,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_59,7.843,11.75,1.14,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_60,1.464,12.65,1.245,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_61,2.351,12.65,1.245,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_62,3.238,12.65,1.245,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_63,6.149,12.65,1.245,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_64,6.996,12.65,1.245,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_65,7.843,12.65,1.245,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_66,1.464,13.55,1.35,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_67,2.351,13.55,1.35,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_68,3.238,13.55,1.35,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_69,6.149,13.55,1.35,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_70,6.996,13.55,1.35,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_71,7.843,13.55,1.35,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
door_aisle_cell_00,0.66,2.2,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
door_aisle_cell_01,0.66,3.8,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
door_aisle_cell_02,0.66,5.4,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
door_aisle_cell_03,0.66,7.0,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
door_aisle_cell_04,0.66,8.6,0.135,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
door_aisle_cell_05,0.66,10.2,0.24,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
door_aisle_cell_06,0.66,11.8,0.45,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
door_aisle_cell_07,0.66,13.4,0.66,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
center_aisle_cell_00,4.925,2.2,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
center_aisle_cell_01,4.925,3.8,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
center_aisle_cell_02,4.925,5.4,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
center_aisle_cell_03,4.925,7.0,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
center_aisle_cell_04,4.925,8.6,0.135,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
center_aisle_cell_05,4.925,10.2,0.24,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
center_aisle_cell_06,4.925,11.8,0.45,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
center_aisle_cell_07,4.925,13.4,0.66,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
window_aisle_cell_00,9.03,2.2,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
window_aisle_cell_01,9.03,3.8,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
window_aisle_cell_02,9.03,5.4,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
window_aisle_cell_03,9.03,7.0,0.03,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
window_aisle_cell_04,9.03,8.6,0.135,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
window_aisle_cell_05,9.03,10.2,0.24,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
window_aisle_cell_06,9.03,11.8,0.45,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
window_aisle_cell_07,9.03,13.4,0.66,0.0,0.0,1.0,aisle_floor,rear_to_front_camera,0.42
blackboard_cell_00,3.0,0.13,1.55,0.0,1.0,0.0,blackboard,rear_to_front_camera,0.18
blackboard_cell_01,4.3,0.13,1.55,0.0,1.0,0.0,blackboard,rear_to_front_camera,0.18
blackboard_cell_02,5.6,0.13,1.55,0.0,1.0,0.0,blackboard,rear_to_front_camera,0.18
projection_screen_cell_00,6.75,0.12,1.78,0.0,1.0,0.0,projection_screen,rear_to_front_camera,0.72
projection_screen_cell_01,7.28,0.12,1.78,0.0,1.0,0.0,projection_screen,rear_to_front_camera,0.72
projection_screen_cell_02,7.81,0.12,1.78,0.0,1.0,0.0,projection_screen,rear_to_front_camera,0.72
